danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist_id,category,category_id,creation_date,_rid,_self,_etag,_attachments,_ts,album,artists,available_markets,disc_number,explicit,external_ids,external_urls,href,is_local,name,popularity,preview_url,track_number
0.328,0.977,0,-3.764,1,0.0561,0.242,0.992,0.303,0.05,174.944,audio_features,6bAMwUZ1NuWIrQojIyBHOg,spotify:track:6bAMwUZ1NuWIrQojIyBHOg,https://api.spotify.com/v1/tracks/6bAMwUZ1NuWIrQojIyBHOg,https://api.spotify.com/v1/audio-analysis/6bAMwUZ1NuWIrQojIyBHOg,182400,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2109,ixBOAOMPL4WhAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WhAAAAAAAAAA==/,"""0900b2ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.17,0.856,4,-5.034,0,0.0604,0.01,0.959,0.229,0.0308,101.676,audio_features,5XtKGcfaH74NOkS9v6NqmD,spotify:track:5XtKGcfaH74NOkS9v6NqmD,https://api.spotify.com/v1/tracks/5XtKGcfaH74NOkS9v6NqmD,https://api.spotify.com/v1/audio-analysis/5XtKGcfaH74NOkS9v6NqmD,276667,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2110,ixBOAOMPL4WiAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WiAAAAAAAAAA==/,"""0900b3ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.627,0.734,6,-10.53,0,0.127,0.511,0.591,0.133,0.066,136.046,audio_features,41I2Srtp0PnRrrCNZ00vcK,spotify:track:41I2Srtp0PnRrrCNZ00vcK,https://api.spotify.com/v1/tracks/41I2Srtp0PnRrrCNZ00vcK,https://api.spotify.com/v1/audio-analysis/41I2Srtp0PnRrrCNZ00vcK,254118,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2110,ixBOAOMPL4WjAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WjAAAAAAAAAA==/,"""0900b5ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.512,0.98,4,-1.777,0,0.0419,0.000156,0.801,0.164,0.0311,90.007,audio_features,0kLFBjCyQiOkxfPx0Wy6W6,spotify:track:0kLFBjCyQiOkxfPx0Wy6W6,https://api.spotify.com/v1/tracks/0kLFBjCyQiOkxfPx0Wy6W6,https://api.spotify.com/v1/audio-analysis/0kLFBjCyQiOkxfPx0Wy6W6,213635,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2110,ixBOAOMPL4WkAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WkAAAAAAAAAA==/,"""0900b6ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.368,0.913,11,-1.494,1,0.0545,0.344,0.968,0.13,0.0371,124.72,audio_features,3YgWd5pYhjm2GS6ruwGy2u,spotify:track:3YgWd5pYhjm2GS6ruwGy2u,https://api.spotify.com/v1/tracks/3YgWd5pYhjm2GS6ruwGy2u,https://api.spotify.com/v1/audio-analysis/3YgWd5pYhjm2GS6ruwGy2u,123209,5,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2110,ixBOAOMPL4WlAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WlAAAAAAAAAA==/,"""0900b7ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.3,0.909,9,-5.269,1,0.053,0.0348,0.944,0.306,0.0399,84.984,audio_features,4ky4ABNkCuMA8RmUbIEjTr,spotify:track:4ky4ABNkCuMA8RmUbIEjTr,https://api.spotify.com/v1/tracks/4ky4ABNkCuMA8RmUbIEjTr,https://api.spotify.com/v1/audio-analysis/4ky4ABNkCuMA8RmUbIEjTr,278118,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2110,ixBOAOMPL4WmAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WmAAAAAAAAAA==/,"""0900b8ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.259,0.664,2,-8.103,1,0.0491,7.12e-05,0.936,0.0726,0.0678,180.049,audio_features,1ooi28X2XSQjWJRAGmsE89,spotify:track:1ooi28X2XSQjWJRAGmsE89,https://api.spotify.com/v1/tracks/1ooi28X2XSQjWJRAGmsE89,https://api.spotify.com/v1/audio-analysis/1ooi28X2XSQjWJRAGmsE89,320000,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2111,ixBOAOMPL4WnAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WnAAAAAAAAAA==/,"""0900b9ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.391,0.938,2,-4.632,1,0.051,0.00548,0.815,0.116,0.0367,113.337,audio_features,5HEgBccgf98oIOwNWrUYw0,spotify:track:5HEgBccgf98oIOwNWrUYw0,https://api.spotify.com/v1/tracks/5HEgBccgf98oIOwNWrUYw0,https://api.spotify.com/v1/audio-analysis/5HEgBccgf98oIOwNWrUYw0,249305,5,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2111,ixBOAOMPL4WoAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WoAAAAAAAAAA==/,"""0900bbce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.45,0.925,7,-7.788,0,0.061,0.0807,0.0376,0.26,0.257,165.025,audio_features,5LvPFFrzALxWG1qp5ku89q,spotify:track:5LvPFFrzALxWG1qp5ku89q,https://api.spotify.com/v1/tracks/5LvPFFrzALxWG1qp5ku89q,https://api.spotify.com/v1/audio-analysis/5LvPFFrzALxWG1qp5ku89q,197818,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2111,ixBOAOMPL4WpAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WpAAAAAAAAAA==/,"""0900bdce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.433,0.973,5,-4.217,0,0.0995,0.000246,0.957,0.112,0.0377,87.013,audio_features,4Z55uZ0HeExpxo2MHOs9PE,spotify:track:4Z55uZ0HeExpxo2MHOs9PE,https://api.spotify.com/v1/tracks/4Z55uZ0HeExpxo2MHOs9PE,https://api.spotify.com/v1/audio-analysis/4Z55uZ0HeExpxo2MHOs9PE,274397,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2111,ixBOAOMPL4WqAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WqAAAAAAAAAA==/,"""0900c0ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.433,0.992,10,-2.908,0,0.473,0.235,0.956,0.171,0.0342,171.934,audio_features,60Jn4IF8l3FrCpvHlJQ14S,spotify:track:60Jn4IF8l3FrCpvHlJQ14S,https://api.spotify.com/v1/tracks/60Jn4IF8l3FrCpvHlJQ14S,https://api.spotify.com/v1/audio-analysis/60Jn4IF8l3FrCpvHlJQ14S,119302,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2111,ixBOAOMPL4WrAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WrAAAAAAAAAA==/,"""0900c5ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.206,0.944,10,-3.158,1,0.078,4.92e-06,0.764,0.125,0.0399,179.725,audio_features,25Qhv8C8Auh6vhytfZzuCy,spotify:track:25Qhv8C8Auh6vhytfZzuCy,https://api.spotify.com/v1/tracks/25Qhv8C8Auh6vhytfZzuCy,https://api.spotify.com/v1/audio-analysis/25Qhv8C8Auh6vhytfZzuCy,323207,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2112,ixBOAOMPL4WsAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WsAAAAAAAAAA==/,"""0900ccce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.24,0.67,6,-11.927,0,0.0782,0.242,0.945,0.0718,0.0473,159.904,audio_features,1MJO191kklzmXcmowFKb6M,spotify:track:1MJO191kklzmXcmowFKb6M,https://api.spotify.com/v1/tracks/1MJO191kklzmXcmowFKb6M,https://api.spotify.com/v1/audio-analysis/1MJO191kklzmXcmowFKb6M,237427,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2112,ixBOAOMPL4WtAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WtAAAAAAAAAA==/,"""0900d2ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.432,0.991,1,-5.632,0,0.0781,0.00406,0.866,0.185,0.13,92.502,audio_features,1XB2hixGEiwCBjhP6dsi5z,spotify:track:1XB2hixGEiwCBjhP6dsi5z,https://api.spotify.com/v1/tracks/1XB2hixGEiwCBjhP6dsi5z,https://api.spotify.com/v1/audio-analysis/1XB2hixGEiwCBjhP6dsi5z,217946,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2112,ixBOAOMPL4WuAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WuAAAAAAAAAA==/,"""0900d5ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
0.364,0.959,11,-4.59,0,0.063,0.000192,0.0214,0.211,0.159,185.045,audio_features,5ovWyJD50IFHHVsQNofGqH,spotify:track:5ovWyJD50IFHHVsQNofGqH,https://api.spotify.com/v1/tracks/5ovWyJD50IFHHVsQNofGqH,https://api.spotify.com/v1/audio-analysis/5ovWyJD50IFHHVsQNofGqH,212757,4,5d3h5ZzWH6mZGCnlpA0Ftn,Jungle,65.0,2023-03-22T22:2112,ixBOAOMPL4WvAAAAAAAAAA==,dbs/ixBOAA==/colls/ixBOAOMPL4U=/docs/ixBOAOMPL4WvAAAAAAAAAA==/,"""0900d6ce-0000-0b00-0000-6469061f0000""",attachments/,1684604447,,,,,,,,,,,,,
